v_name,v_type,v_sort_order,v_value
Name,text,1,0:0
Num,text,2,0:0
Size,select,5,Women | US/AU 4 | UK 2.5 | EURO 35:10;Women | US/AU 5 | UK 3.5 | EURO 36:20;Women | US/AU 6 | UK 4.5 | EURO 37:30;Women | US/AU 7 | UK 5.5 | EURO 38:40;Women | US/AU 8 | UK 6.5 | EURO 39:50;Women | US/AU 9 | UK 7.5 | EURO 40:60;Women | US/AU 10 | UK 8.5 | EURO 41:70;Men | US/AU 8 | UK 6 | EURO 39:80;Men | US/AU 8.5 | UK 6.5 | EURO 40:90;Men | US/AU 9.5 | UK 7.5 | EURO 41:100;Men | US/AU 10 | UK 8 | EURO 42:110;Men | US/AU 10.5 | UK 8.5 | EURO 43:120;Men | US/AU 11 | UK 9 | EURO 44:130;Men | US/AU 11.5 | UK 9.5 | EURO 45:140;Men | US/AU 12 | UK 10 | EURO 46:150;S:160;M:170;L:180;XL:190;XXL:200;4:210;5:220;6:230;7:240;8:250;9:260;10:270;12:280;14:290;US/AU 5.5 | UK 3 | EURO 36:300;US/AU 6.5 | UK 4 | EURO 37.5:310;US/AU 7 | UK 4.5 | EURO 38:320;US/AU 8 | UK 5.5 | EURO 39:330;US/AU 8.5 | UK 6 | EURO 40:340;US/AU 8 | UK 7 | EURO 41:350;US/AU 8.5 | UK 7.5 | EURO 42:360;US/AU 9.5 | UK 8.5 | EURO 43:370;US/AU 10 | UK 9 | EURO 44:380;US/AU 11 | UK 10 | EURO 45:390;US/AU 12 | UK 11 | EURO 46:400;US/AU 13 | UK 12 | EURO 47:410;11C | EURO 28:420;12C | EURO 29:430;12.5C | EURO 30:440;13C | EURO 31:450;1Y | EURO 32:460;1.5Y | EURO 33:470;2.5Y | EURO 34:480;3Y | EURO 35:490;US8:500;US8.5:510;US9:520;US9.5:530;US10:540;US10.5:550;US11:560;US11.5:570;US12:580;US12.5:590;US13:600;US14:610;US15:620
